Actual,Prediction,Correct
4.271776362137745,4.271776362137745,4.271776362137745
2.2430964450047934,2.2430964450047934,2.2430964450047934
3.5729275367687094,3.5729275367687094,3.5729275367687094
5.003977152382307,5.003977152382307,5.003977152382307
3.3154259039979173,3.3154259039979173,3.3154259039979173
4.667888310055377,4.667888310055377,4.667888310055377
4.865520320463633,4.865520320463633,4.865520320463633
4.983035436075601,4.983035436075601,4.983035436075601
2.4173817124614008,2.4173817124614008,2.4173817124614008
5.336423079454521,5.336423079454521,5.336423079454521
6.780050106941237,6.780050106941237,6.780050106941237
2.0716859394058247,2.0716859394058247,2.0716859394058247
4.233338794462114,4.233338794462114,4.233338794462114
3.292225646509423,3.292225646509423,3.292225646509423
6.751819312311429,6.751819312311429,6.751819312311429
1.0733544974074136,1.0733544974074136,1.0733544974074136
1.9999651679182227,1.9999651679182227,1.9999651679182227
2.383017054949547,2.383017054949547,2.383017054949547
3.464697207783089,3.464697207783089,3.464697207783089
3.327245681622262,3.327245681622262,3.327245681622262
1.7711192458590928,1.7711192458590928,1.7711192458590928
3.8845669304220873,3.8845669304220873,3.8845669304220873
3.0119669175520616,3.0119669175520616,3.0119669175520616
3.1502683189603844,3.1502683189603844,3.1502683189603844
7.378524346579003,7.378524346579003,7.378524346579003
3.6356844841762075,3.6356844841762075,3.6356844841762075
7.457645132043746,7.457645132043746,7.457645132043746
7.980347970736839,7.980347970736839,7.980347970736839
2.0645529845719883,2.0645529845719883,2.0645529845719883
3.3013472385011067,3.3013472385011067,3.3013472385011067
1.121969056250542,1.121969056250542,1.121969056250542
3.618011793441701,3.618011793441701,3.618011793441701
2.9103639319527237,2.9103639319527237,2.9103639319527237
2.1230960736919737,2.1230960736919737,2.1230960736919737
4.87580137385099,4.87580137385099,4.87580137385099
3.418948134479326,3.418948134479326,3.418948134479326
3.451232213696343,3.451232213696343,3.451232213696343
7.509547323338614,7.509547323338614,7.509547323338614
1.961323234083874,1.961323234083874,1.961323234083874
5.146985978104545,5.146985978104545,5.146985978104545
3.121339883371464,3.121339883371464,3.121339883371464
4.454482899950399,4.454482899950399,4.454482899950399
3.075372461327675,3.075372461327675,3.075372461327675
4.5881606244067275,4.5881606244067275,4.5881606244067275
2.5591214280410512,2.5591214280410512,2.5591214280410512
2.911153557573691,2.911153557573691,2.911153557573691
2.938365828862319,2.938365828862319,2.938365828862319
4.450893939405697,4.450893939405697,4.450893939405697
3.9978678064114126,3.9978678064114126,3.9978678064114126
2.7211968408728104,2.7211968408728104,2.7211968408728104
3.5000470806274806,3.5000470806274806,3.5000470806274806
7.230828422531327,7.230828422531327,7.230828422531327
4.986178520955065,4.986178520955065,4.986178520955065
3.8162989045364144,3.8162989045364144,3.8162989045364144
2.818838189326402,2.818838189326402,2.818838189326402
6.576457574393902,6.576457574393902,6.576457574393902
0.729331228260989,0.729331228260989,0.729331228260989
5.881704736878127,5.881704736878127,5.881704736878127
3.867144981583684,3.867144981583684,3.867144981583684
5.182085799536613,5.182085799536613,5.182085799536613
2.7556990280334066,2.7556990280334066,2.7556990280334066
2.702378207783373,2.702378207783373,2.702378207783373
2.11894048465948,2.11894048465948,2.11894048465948
6.054392970879899,6.054392970879899,6.054392970879899
4.9970640828421224,4.9970640828421224,4.9970640828421224
4.057338329678545,4.057338329678545,4.057338329678545
4.9920912296682065,4.9920912296682065,4.9920912296682065
3.592397928765883,3.592397928765883,3.592397928765883
4.141798875411416,4.141798875411416,4.141798875411416
5.133957401908246,5.133957401908246,5.133957401908246
6.97744673601839,6.97744673601839,6.97744673601839
3.4282826264075394,3.4282826264075394,3.4282826264075394
2.528234649777899,2.528234649777899,2.528234649777899
4.106070213852102,4.106070213852102,4.106070213852102
0.4131576209165808,0.4131576209165808,0.4131576209165808
4.1203216180305136,4.1203216180305136,4.1203216180305136
3.6298478748727883,3.6298478748727883,3.6298478748727883
5.427746881169885,5.427746881169885,5.427746881169885
5.175470292087066,5.175470292087066,5.175470292087066
4.591934796570296,4.591934796570296,4.591934796570296
0.8495511013925756,0.8495511013925756,0.8495511013925756
7.954372638261616,7.954372638261616,7.954372638261616
2.6819067570881736,2.6819067570881736,2.6819067570881736
4.704577814830535,4.704577814830535,4.704577814830535
2.518464392719335,2.518464392719335,2.518464392719335
5.157108730682224,5.157108730682224,5.157108730682224
3.8333006439530792,3.8333006439530792,3.8333006439530792
4.6399655956053385,4.6399655956053385,4.6399655956053385
7.670644842411836,7.670644842411836,7.670644842411836
1.9404718195374082,1.9404718195374082,1.9404718195374082
3.7278105123416476,3.7278105123416476,3.7278105123416476
4.779126898986018,4.779126898986018,4.779126898986018
3.319768270938698,3.319768270938698,3.319768270938698
4.457305953259021,4.457305953259021,4.457305953259021
4.521178935706486,4.521178935706486,4.521178935706486
2.5538517247724104,2.5538517247724104,2.5538517247724104
3.319065554525819,3.319065554525819,3.319065554525819
6.648722863480158,6.648722863480158,6.648722863480158
5.744878595504995,5.744878595504995,5.744878595504995
1.814600821240329,1.814600821240329,1.814600821240329
5.216753430644295,5.216753430644295,5.216753430644295
4.962576649012616,4.962576649012616,4.962576649012616
2.136393208512091,2.136393208512091,2.136393208512091
4.370057629472101,4.370057629472101,4.370057629472101
4.51111956428967,4.51111956428967,4.51111956428967
1.833092852541399,1.833092852541399,1.833092852541399
5.765224076649703,5.765224076649703,5.765224076649703
6.3489033191814706,6.3489033191814706,6.3489033191814706
3.6640174169558213,3.6640174169558213,3.6640174169558213
4.265114011919164,4.265114011919164,4.265114011919164
3.5426677601931544,3.5426677601931544,3.5426677601931544
4.294921078987943,4.294921078987943,4.294921078987943
1.87173783085171,1.87173783085171,1.87173783085171
2.2799130869585698,2.2799130869585698,2.2799130869585698
2.3788994661948895,2.3788994661948895,2.3788994661948895
1.7818797228565013,1.7818797228565013,1.7818797228565013
2.7886891793988786,2.7886891793988786,2.7886891793988786
3.6563996848964533,3.6563996848964533,3.6563996848964533
0.9097395969664324,0.9097395969664324,0.9097395969664324
2.25651554714446,2.25651554714446,2.25651554714446
4.118470679470892,4.118470679470892,4.118470679470892
5.2500115723544845,5.2500115723544845,5.2500115723544845
4.577894506314697,4.577894506314697,4.577894506314697
5.457694461106256,5.457694461106256,5.457694461106256
5.416352802692669,5.416352802692669,5.416352802692669
2.840812106433451,2.840812106433451,2.840812106433451
